Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
03-06-2022 00:22,160.52,99.2,5.14,51.37,4.82,3593.16,30.53,81.74,47.22,880,40.92,77.82,201.32,29.01,907.57,26.47,124.47,905.24,338.06,96.68,19.5,85.5,133.6,212.7,14.2,750,14.8
03-06-2022 01:27,160.44,99.15,5.13,51.34,4.81,3595.07,29.8,80.9,52.27,899.94,43.9,79.65,191.34,35.59,907.55,26.85,125.86,905.25,338.02,97.35,22,86.9,132.8,212.3,14.2,750,15
03-06-2022 02:31,160.36,99.1,5.13,51.31,4.81,3673.61,28.9,85.1,48.1,899.94,43.5,75.65,192.54,44.62,907.51,31.33,128.11,900.25,331.55,96.79,18.6,89.8,133.8,212.3,13.9,750,15.4
03-06-2022 03:39,161.15,99.59,5.16,51.57,4.83,3673.75,28.64,93.05,44.53,899.94,43.78,79.12,191.47,50.04,922.47,33.72,128.86,900.25,331.72,97.16,20.3,82.1,132.4,212.3,14.2,750,15.8
03-06-2022 04:32,160.5,99.19,5.14,51.36,4.82,3657.55,28.18,90.62,48.12,899.94,44.11,78.77,204.41,70.75,952.72,41.9,134.83,900.3,327.76,96.99,18.6,86.5,132.8,211.3,14.9,750,15.2
03-06-2022 06:29,160.08,98.93,5.12,51.22,4.8,3648.3,27.6,82.72,50.52,899.94,43.96,81.74,210.41,86.71,952.47,48.33,138.54,900.33,325.65,97.05,21.9,87,133.3,212.3,13.5,750,15
03-06-2022 07:26,165.88,102.52,5.31,53.08,4.98,3721.35,28.24,86.99,43.05,899.94,43.76,81.3,209.93,107.26,952.22,55.54,142.58,900.34,325.54,97.04,23.6,86.8,132.8,21.6,14.25,750,14.5
03-06-2022 08:29,166.29,102.77,5.32,53.21,4.99,3678.99,29.23,89.6,46.87,899.94,43.91,82.6,206.35,79.04,952.46,47.92,136.85,900.3,327.87,96.92,21.1,86.2,133.8,212.7,14.2,750,15.9
03-06-2022 09:21,156.05,96.44,4.99,49.94,4.68,3654.78,30.4,89.53,49.07,899.94,43.78,80.07,206.84,82.93,962.18,45.94,138.34,900.29,327.87,96.69,21.9,87.5,133.6,212.3,15.21,750,15.1
03-06-2022 10:35,157.24,97.18,5.03,50.32,4.72,3701.5,32.31,92.77,44.68,899.94,43.92,82.55,209.16,123.98,952.59,57.96,144.55,900.36,324.09,97.08,22.3,85,134.2,211.3,14.2,750,14.5
